,0
0,ELECTION MANIFESTO 1991     This We Believe The country stands today on a major cross-roads of history.
1,A right turn – and the country would be well on its way to fulfilment.
2,A wrong turn – and the country would be in serious trouble.
3,The electoral contests so far have been mainly bouts between various shades of Congressmen.
4,"Today for the first time Bharatiya Janata Party the Party of Independent India, offers itself as an independent and complete alternative to the current confusions."
5,The country has been advancing at snail’s pace when it has not actually been declining.
6,Prices are rising and employment generation rate is falling.
7,The foreign debt trap is closing on us.
8,Communal violence has rocked several States.
9,For the first time in history we had immolations by the frustrated flower of Indian youth.
10,State-Centre relations are seriously strained.
11,Opportunistic alliances have brought Democracy itself into disrepute.
12,"Secessionism has raided its ugly head in Punjab, Kashmir and Assam."
13,"And what is worse, there is sinister cooperation between these separatist terrorists and the people’s war group in Andhra and LTTE in Tamil Nadu."
14,"In the face of this challenge, other parties have gone casteist communalist or both."
15,Different Political Parties exploited even the tragic Gulf War to carve out and comer communal Vote banks.
16,The leaders of these parties have conclusively proved themselves non-leaders.
17,"Taking advantage of this confusion, communists are making attempts to gain some respectability. ."
18,"The Bharatiya Janata Party as the party of Nationalism, Holism and Integral Humanism, offers a complete, new and higher alternative to the current dismal scene."
19,"As the party of Swadesh and Swa-dharma, it is wedded to our country, our people and   3 culture."
20,"It believes in consensus and cooperation, and not in contrariety and conflict."
21,"It would uplift the poor and the down- trodden, without pitting caste against caste, without inciting class against class."
22,"As the party of law, order and justice, it would ensure the security of life, limb and honour of all citizens."
23,"It seeks the restoration of Ram Janmabhoomi in Ayodhya only by way of a symbolic righting of historic wrongs, so that the old unhappy chapter of acrimony could be ended, and a Grand National Reconciliation effected."
24,Hindus and Muslims are blood-brothers.
25,But on account of historical reasons their relationship has not been harmonious.
26,It shall be the endeavor of BJP to make all Indians fraternal and friendly once again.
27,BJP is no prisoner of any dogmas.
28,We will debureaucratise the Economy to maximise production.
29,We will make even the Sarkari Sector productive and profitable by throwing open some of the public sector units to people’s participation.
30,"The BJP will modernise the country on the basis of Science and Technology, even while strengthening the cultural roots of our national life."
31,We want to do a thousand things to uplift the people and upgrade the country.
32,"And we have the first Principles, the sound policies, the wise leadership and the dedicated cadres to do them and do them well."
33,"Towards A Clean Political System From the Himalaya to Kanya Kumari, this country has always been one."
34,"We have had many States, but we were always one people."
35,"We always looked upon our country as Matribhoomi, Punyabhoomi."
36,The Atharva Veda says ‘Janarn bibhrati bahuda vivachasam’ -Nana Dharmanam Prithvi yathou kasam.’ (This our motherland gives equal protection to people speaking different languages and professing different faiths).
37,"We have never had a theocracy, with a State Religion, in India."
38,"In fact, it is not possible in India because of its inherent magnanimous cultural heritage."
39,"This being our tradition there is no room for discrimination against anybody on grounds of caste, creed, language or region."
40,It is the duty of the state to ensure justice for all citizens and for all sections of society.
41,The Bharatiya Janata   Party is wedded to National Unity and National Integrity and a balanced development of all regions and all sections.
42,"To these ends we will have, politically, not only a strong centre but also strong autonomous States."
43,"Law And Constitution The polity will accordingly, be reformed along the following lines: BJP favours restructuring of Centre-State relations in view of the quick economic development and decentralisation."
44,"BJP will implement the Sarkaria Committee Report on Centre-State relations; Article 356 permitting dissolution of a State Government by the Centre, will invoke only when the Constitutional machinery has in fact broken down and not to promote any partisan interest; The BJP recognises that regional imbalances have developed in some states because of their size."
45,The party would appoint a commission to report on formation of smaller states which are economically and democratically viable.
46,"Initially BJP will have Uttranchal, Vananchal and Union Territory of Delhi as three new states of the Indian Union; Certain regions in some States have an acute sense of neglect."
47,These regions e.g.
48,"Ladakh and Jammu in J & K State, and Marathwada and Vidarbha in Maharashtra – will be given Regional Development Councils; The States will be given a fairer share of Central revenues; We will appoint an Inter-state Council under Article 263 to settle all inter-state and State-centre disputes; We will delete the ‘temporary’ Article 370 from the Constitution, which more than anything else, psychologically separates J & K state from the rest of the country; Article 30 permits minorities to run their own schools."
49,"It will be rationalised and suitably amended to ensure justice & equality to all irrespective of religions; We will guarantee to all minorities, whether religious or linguistic, peace and security and full opportunities for   3 and development; We will set up a commission to study and report whether the Presidential system of Government will give us a more stable Government than the present Parliamentary system; BJP will examine the feasibility of introducing list system; We will appoint a Law Commission to study various Civil Laws."
50,"ancient, medieval and modern, to evolve a Common Civil Law for the whole country to give our citizens a feeling of unity and brotherhood; We will maintain a National Register of citizens; In place of the minorities commission and which entertains complaints of discrimination only from minority sections."
51,We will have a Human Rights Commission to look into complaints of injustice against any section of society.
52,Fair Elections Free and fair elections are the life-breath of democracy.
53,"From time to time there are reports of doctored electoral rolls, booth- capturing, physical violence."
54,Money power and muscle power have assumed sinister proportions.
55,"To restore health to our electoral system we will: Arrange for public funding of elections; Introduce identity cards with photographs for all voters; Replace ballot boxes by electronic voting machines, to prevent rigging and booth-capturing; Give the right of vote by postal ballot to Indian citizens living abroad; Permit company donations to parties – until State funding is introduced, to keep black money out of the political process; Strengthen the independence of the Election Commission by making its expenditure a charge on the Consolidated Fund of India – as is the case with the Comptroller and Auditor General and the Supreme Court and various High Courts; Hold State Assembly and Lok Sabha Elections simultaneously and regularly every five years, avoiding, as far as possible, any mid-term polls;   Give legal teeth to the Election Commission’s Code of Conduct by making violation of the same a corrupt practice under the Election Law; Empower the Election Commission to, monitor Akashvani and Doordarshan broadcasts and ensure that the same are not misused for any partisan purposes; Fix a realistic limit on a candidate’s election expenses and then include in it not only the money spent by him but also by his party and friends; and Introduce public auditing of party funds."
56,Shri Ram Mandir At Janamsthan BJP firmly believes that construction of Shri Ram Mandir at Jamnasthan is a symbol of the vindication of our cultural heritage and national self respect.
57,For BJP it is purely a national issue and it will not allow any vested interests to give it a sectarian and communal colour.
58,Hence party is committed to build Shri Ram Mandir at Janmasthan by relocating super imposed Babri structure with due respect.
59,Clean Public Life BJP attaches the greatest importance to the probity and quality of public life.
60,"To this end we will Inquire into all cases of serious corruption in high places; Require all those holding public office to make an annual declaration of their own and their dependents’ assets; Set an example in simple living, to give a new, higher tone to public life."
61,North-east We have long had many problems in the North-East beginning with Naga insurgency.
62,And now we have a Bodo problem and also the ULFA problem in Assam proper.
63,"BJP will examine outstanding regional and sectional problems, redress all legitimate grievances and, for the rest maintain law and order with a firm hand."
