,0
0,"TO BUILD A PROSPEROUS, POWERFUL NATION, RECALL INDIA’S PAST Indian civilisation is perhaps the most ancient and continuing civilisation of the world."
1,India has a long history and has been recognised by others as a land of great wealth and even greater wisdom.
2,But India has also experienced continued foreign attacks and alien rule for centuries and this has resulted in a loss of pride in India and its remarkable achievements.
3,"Indians, particularly educated under the system of education imposed by the Britishers, have lost sight of not only the cultural and civilisational greatness of India, but also of its technological achievements and abounding natural resources."
4,History tells us that India was a land of abundance.
5,"The country has been blessed with great natural fertility, abundant water and unlimited sunshine."
6,"According to foreigners visiting this country, Indians were regarded as the best agriculturists in the world."
7,Records of these travels from the 4th Century BC till early- 19th Century speak volumes about our agricultural abundance which dazzled the world.
8,The Thanjaur (900-1200 AD) inscriptions and Ramnathapuram (1325 AD) inscriptions record 15 to 20 tonnes per hectare production of paddy.
9,"Now, even after the first green revolution, according to Government statistics, Ludhiana in the late-20th Century recorded a production of 5.5 tonnes of paddy per hectare."
10,"It is, therefore, imperative that India rediscovers an agricultural technology which incorporates all the inputs from our own wisdom and agricultural skills that made us a land of abundance in food."
11,Indian economy was as flourishing as its agriculture.
12,Foreigners from Magasthenes to Fa-Hian and Hiuen-Tsiang have described and praised Indian material prosperity.
13,Indian villages around 1780 in Bihar have been cited as an example of cleanliness and hospitality.
14,The streets were swept and watered and the people had a remarkable sense of hospitality and attention to accommodate the needs of the travellers.
15,Old British documents established that India was far advanced in the technical and educational fields than Britain of 18th and early-19th Century.
16,Its agriculture technically and productively was far superior; it produced a much higher grade of 2 BJP MANIFESTO - LOK SABHA ELECTION 2009 iron and steel.
17,"The Iron Pillar at Mehrauli in Delhi has withstood the ravages of time for 1,500 years or more without any sign of rusting or decay."
18,Metallurgists of the world have marvelled at this high degree of sophistication in technology.
19,Textiles formed the great industrial enterprise of pre-British India.
20,"Up to the late-18th Century, India was the leading producer and exporter of textiles; China was then a close second."
21,"Indian advancements in astronomy, mathematics, chemistry, physics and biological sciences have been documented and recognised all over the world."
22,Contributions in the field of medicine and surgery are also well known.
23,Ayurveda and Yoga are the best gifts from India to the world in creating a healthy civilisation.
24,"India knew plastic surgery, practised it for centuries and, in fact, it has become the basis of modern plastic surgery."
25,India also practised the system of inoculation against small pox centuries before the vaccination was discovered by Dr Edward Jenner.
26,"Fa-Hian, writing about Magadha in 400 AD, has mentioned that a well organised health care system existed in India."
27,"According to him, the nobles and householders of this country had founded hospitals within the city to which the poor of all countries, the destitute, the crippled and the diseased may repair."
28,“They receive every kind of requisite help.
29,"Physicians inspect their diseases, and according to their cases, order them food and drink, medicines or decoctions, everything in fact that contributes to their ease."
30,"When cured they depart at their ease.” It has been established beyond doubt by the several reports on education at the end of the 18th Century and the writings of Indian scholars that not only did India have a functioning indigenous educational system but that it actually compared more than favourably with the system obtaining in England at the time in respect of the number of schools and colleges proportionate to the population, the number of students in schools and colleges, the diligence as well as the intelligence of the students, the quality of the teachers and the financial support provided from private and public sources."
31,"Contrary to the then prevailing opinion, those attending school and college included an impressive percentage of lower caste students, Muslims and girls."
32,"Mahatma Gandhi was absolutely right in saying that India was more illiterate in 1931 compared to its state of literacy 50-60 years ago, i.e."
33,in 1870.
34,"India had also an expertise in ship building, as also in extensive manufacturing and uses of dyes, and also in manufacturing paper."
35,"India had a share of about 22.5 per cent of world GDP in 1600 AD which during British domination suffered a steep decline to 12.25 per cent in 1870, while the British share in the same period rose sharply from 1.8 per cent to 9.1 per cent."
36,"When Britishers left India, the economy was completely shattered and India’s share in world manufacture, trade and GDP declined further."
37,"Even after 62 years of Independence, BJP MANIFESTO - LOK SABHA ELECTION 2009 3 India’s share in world market remains less than one per cent."
38,"India’s prosperity, its talents and the state of its high moral society can be best understood by what Thomas Babington Macaulay stated in his speech of February 02, 1835, in the British Parliament."
39,"“I have travelled across the length and breadth of India and I have not seen one person who is a beggar, who is a thief, such wealth I have seen in this country, such high moral values, people of such high caliber, that I do not think we would ever conquer this country, unless we break the very back bone of this nation, which is her spiritual and cultural heritage, and therefore, I propose that we replace her old and ancient education system, her culture, for if the Indians think that all that is foreign and English is good and greater than their own, they will lose their self esteem, their native culture and they will become what we want them, a truly dominated nation.” This policy was implemented very meticulously by Britishers and the education system was created to make Indian’s ignorant about themselves."
