,0
0,The open ManifesTo proCess: paThbreaking poliTiCal reforM The	Indian	National	Congress	has	pioneered	an	entirely	new	way	in	which political	party	election	manifestos	are	prepared.
1,It	is	our	firm	belief that	the Indian	National	Congress	Manifesto	must	reflect	the	voice	and	aspirations	of the	people	and	a	new	vision	for	the	country.
2,"There	were	several	consultations	held	across	the	country	over	a	five-month period	(from	October,	2013	to	March,	2014)	with	different	stakeholders,	to get	their	inputs	on	India’s	future	growth,	development	and	inclusion	agenda."
3,"The	Congress	Vice	President	Shri	Rahul	Gandhi	participated	in	several	of these	interactions	including	those	with	representatives	from	Scheduled	Castes, Scheduled	Tribes,	Other	Backward	Classes,	minorities,	women	organisations, youth,	labour,	industry,	Panchayat	representatives,	ex-servicemen,	railway porters,	rickshaw	pullers,	salt-pan	workers	and	farmers."
4,In	addition	to	this	a dedicated	website	(www.incmanifesto.in)	was	established	to	invite	suggestions from	all	citizens	for	the	Manifesto.
5,A	separate	website	for	the	“National	Student Manifesto”	was	also	created.
6,"We	received	tens	of thousands	of suggestions	through	these	consultations,	on the	websites	and	social	media	platforms,	phones,	emails,	etc."
7,"These	suggestions were	carefully	considered	and	have	been	included,	wherever	feasible."
8,We	believe	this	unique	exercise	has	made	the	Manifesto	inclusive	and	fully reflective	of the	voice	of the	people	of India.
9,"2 • Congress:	The	Only	Choice 4 • Congress	or	BJP • The	UPA	Report	Card 6 • Landmark	Legislation:	2009-2014 8 • Our	Pledge:	A	15	Point	Agenda	for	Socio-economic	and	Political	Transformation 10 14 • The	Detailed	Action	Plan	2014-2019 Table of ConTenTs A New Future for the Hands that Build the Nation Economic Growth • An	Economic	Roadmap	for	2014-2019 • The	Indian	National	Congress’s	100	Day	Agenda	for	Growth • Accelerating	Job	Creation	and	Skill	Development Protecting	the	Interests	of Labour Right	to	Health Empowering	Scheduled	Castes,	Scheduled	Tribes	and	Other	Backward	Classes Women’s	Empowerment	and	Protection	of Children Safeguarding	Minorities Youth	and	Student	Agenda • Building	the	Best	Education	System	in	the	World	for	our	Students • Promoting	Sports • Other	Youth	Issues Rural	Development	and	Panchayati	Raj Agriculture	and	Farmer	Welfare Accelerating	Industrial	and	Manufacturing	Growth Infrastructure • Transport • Energy Urban	Development Housing Environment Innovation,	Information	and	Communication	Technology Fighting	Corruption Governance	Reforms • Electoral	Reforms • Legal	and	Judicial	Reforms • Police	Reforms Internal	Security Defence	and	Welfare	of Ex-Servicemen Foreign	Policy • An	Appeal 14 14 15 16 17 19 20 21 24 26 27 28 29 30 31 32 34 36 36 37 38 39 40 41 43 43 44 44 44 46 46 47 modernise the Indian economy and bring about the information and conmunications technology	revolution."
10,"In	the	1990’s,	radical economic	reforms	were	instituted	leading	to accelerated	economic	growth	and	widespread economic and social transformation."
11,"At the turn of the millennium, we brought about a “Regime of Rights” marking a paradigm shift in India’s politics and development."
12,"Beginning with the Right to Information, Right to Work (Mahatma Gandhi National Rural	Employment	Guarantee	Act),	Right	to Education and the Right to Food, we have launched	a	radical	progressive	economic	and social	development	discourse."
13,"regional balance, progress in backward areas and a strong conviction that in order to prosper every citizen must have the opportunity to evolve to the best of her or his	ability."
14,Ours	is	a	Nation	of incredible	but often	untapped	talent	that	needs	and	deserves to	be	unleashed.
15,We envision an India where power would have	been	devolved	to	the	grassroots	and	to the	marginalized	so	that	they	can	shape	their own	destiny.
16,"communal harmony, and economic growth and	social	justice,	are	two	sides	of the	same coin	and	must	always	go	hand-in-hand."
17,"The Indian National Congress is the only Party that combines experience and youth, wisdom and exuberance, achievement and ambition."
18,"The	Indian	National	Congress	seeks	a	renewed mandate on the strength of its heritage, its record	of service,	both	in	and	out	of power, and	its	clear	vision	for	the	future."
19,"We envision an India charting a new future rather than rewriting in harmony, not in turmoil; thriving in peace its past; living to The Indian National Congress has made India’s unity, seminal contributions integrity, secular polity and democratic federalism."
20,"We have championed the rights of the	weaker	sections,	created	conditions	for faster economic growth and have been the principal	instrument	of social	and	economic change, the preferred political choice for crores of women and men."
21,"Our	central	values	resonate	the	very	idea	of India,	that	has	come	to	us	over	the	centuries, an India that rejoices in and celebrates its many diversities, and builds on these diversities to strengthen the bonds of unity through secularism, pluralism, inclusion and social	justice."
22,This	is	the	India	that Mahatma Gandhi envisaged.
23,This is	the	India	for	which	our	Freedom Fighters gave their all.
24,This is the India the Indian National Congress has always dedicated itself to.
25,Ours	is	the	one	Party	with a history of a liberal philosophy that has enabled the country to build	strong	political	and	economic institutions and transform itself.
26,"that Cong ress The onl y ChoiCe In the 1950’s, the Indian National Congress put India on the path of industrialisation through the public sector, ensuring both rapid and balanced regional growth across the face of our country."
27,A massive infrastructure for science and technology	was	also	established.
28,"In	the	1960’s, the	Green	Revolution	was	launched	to	make India	self-sufficient	in	food	grains	and	a	direct assault	on	poverty."
29,"In	the	1970’s,	further	gains were	made	through	the	Green	Revolution	and a White Revolution was unleashed that was to	make	India	the	world’s	largest	producer	of milk."
30,"In the 1980’s, economic reforms were launched in response to new challenges, to The depth and breadth of its political and administrative experience makes the Indian National Congress most intrinsically aware and closely associated with the beliefs, and principles	and	need	of the	people	of India."
31,We are the Party that has always believed in the idealism and leadership abilities of the youth.
32,We have remained connected with their aspirations and have been inspired by their	restless	vibrancy.
33,"Our	vision	is	one	of inclusive	and	sustainable growth fuelled by agricultural development, rather	than	suffering	in	conflict;	imbued	with humility,	not	with	arrogance."
34,We	envision	an	India	where	the	government serves the people rather than where people serve	the	government.
35,We	believe	in	a	simple	universal	truth:	equity and	opportunity	for	all.
36,"The Indian National Congress is the only Party	that	believes	that	economic	growth	and 2 3 Since it formation, 128 years ago, the Indian National Congress has spoken for every section of Indian society	and	has	mirrored	India’s	“unity in	diversity”."
37,The Indian National Congress’s secular	and	liberal	ethos	has	a	place for	each	and	every	Indian.
38,Ours	is	an	inclusive	vision.
39,The Indian National Congress stands in sharp contrast to the divisive and disruptive ideology of the BJP.
40,"We have always been the secular and progressive force	in	this	country	and	strived	to	unite all	religions,	castes	and	communities	in	the ideological	battle	against	those	who	would polarize	and	divide	our	society."
41,democratic Constitution Our and institutions	are	the	cornerstone	of Modern India.
42,"All	of us,	who	wish	to	build	a	better India	and	rid	the	country	of poverty	and Aware	of the	challenges	thrown	up	by	the undemocratic	and	exclusionary	politics	of the	BJP,	particularly	in	the	recent	past,	the Indian National Congress is committed to confronting these challenges with determination."
43,"respond by subverting We do not democratic institutions and blocking Parliament	session	after	session,	year	after year."
44,We	do	not	respond	by	turning	people against	each	other	and	lighting	the	fires	of communal	hatred.
45,We	do	not	respond	by Congress	is	the	only	natural	choice	for	the people	of India.
46,Congre ss or bjp Secular Liberal Nationalism vs Narrow-minded Communalism Inclusive Democracy vs Divisive Authoritarianism The BJP’s narrow and communal perspective	denies	equality	to	all.
47,Theirs	is	an	exclusionary doctrine.
48,"corruption,	must	respect	these	institutions and work through them."
49,They are the legitimate in our hands.
50,No individual or authority can replace the values and processes of democratic governance.
51,instruments Peace cannot be constructed on conflict.
52,Societies	cannot	be	built	on	injustice	and hatred.
53,proposing either that the structures of democracy	be	handed	to	one	single	person or	that	they	be	viciously	undermined.
54,"The Indian National Congress responds through legitimate peaceful, democratic and	Constitutional	means."
55,These	are	the pillars	on	which	our	great	Nation	stands.
56,"It is	for	this	reason	that	the	Indian	National 4 5 It	was	the	tireless	campaign	and	vision of Sonia Gandhi, President of the Indian	National	Congress,	that	brought together	and	gave	shape	to	the	United Progressive Alliance (UPA) headed by Prime Minister Dr. Manmohan Singh in	May	2004."
57,"The work of the Congress-led UPA government was appreciated and the people of India	gave	us	a	renewed	mandate,	with	a larger	majority,	in	2009."
58,The	2009	Mandate	was	to	safeguard	and	advance the interests of India’s farmers and create an environment	conducive	to	their	prosperity.
59,This	has	been	achieved	in	substantial	measure.
60,"The 2009 Mandate was for empowering the poor and the marginalized, especially Scheduled Castes, Scheduled Tribes, Other Backward	Classes,	minorities	and	women."
61,This	has	been	achieved	in	substantial	measure.
62,"Chairperson	of the	UPA,	Sonia	Gandhi,	and Prime Minister Dr. Manmohan Singh, has The	2009	Mandate	was	to	open	the	doors	of education and skills, and provide access to The upa reporT Card translated	into	reality	the	pledges	we	made	in May	2009. immense	opportunities	they	hold	out	for	our biggest	asset,	our	youth."
63,"The	2009	Mandate	was	for	socially	inclusive economic growth with a focus on jobs and livelihoods,	and	social	justice."
64,This	has	been	achieved	in	substantial	measure.
65,The 2009 Mandate was to take forward the commitment made by our government in 2004	promising	“A	New	Deal	for	Rural	India.” This	has	been	achieved	in	substantial	measure.
66,This	has	been	achieved	in	substantial	measure.
