,0
0,"Vote BJP Vote for a Stable Government Vote for an Able Prime Minister Election Manifesto 1 9 9 8     Our Vision, Our Will, Our Way Sarve bhavantu sukhinah Sarve santu niramayah Sarve bhadrani pasyantu Ma kaschit dukha bhag bhavet!"
1,Om Shanti!
2,Shanti!
3,Shanti!
4,May all live happily.
5,May all enjoy good health.
6,May all see auspiciousness.
7,May none experience distress.
8,May peace prevail everywhere!
9,"THIS timeless motto of universal happiness and peace is the heritage of this ancient Indian civilization, which assumed the character of Bharatvarsha in Bharat Khand."
10,"Here, a nation, which Megasthanes noted ‘never invaded others and was never invaded,’ existed long before the ideas of civilization evolved elsewhere."
11,"This ageless nation is the embodiment of the eternal values enshrined in the concept of ‘Sanatana Dharma’ which, according to Maharishi Aurobindo, is synonymous with Indian nationalism."
12,The idea of Vasudhaiva Kutumbakam—world as a family—is integral to the concept of Sanatana Dharma.
13,This gigantic idea is an exclusively Indian contribution to world peace.
14,This ancient nation evolved a world-view based on the motto Loka samasta sukhina bhavantu (Let the entire world be happy) thousands of years before any League of Nations or United Nations was thought of to avoid global strife.
15,The Indian nation evolved this grand vision not by marching its armies and conquering the rest and offering peace; but by the inner-directed pursuit of universal values by the Rishis living in the forests and mountains of India.
16,"The well-being of all, in short, is the Indian mission."
17,It is not   1 to the residents of Bharat or the adherents of any particular faith or creed.
18,"That is why Bharat received with open arms all faiths and people fleeing persecution—whether it was the Jews, Parsis, Muslims or Christians—and preserved and protected them long before any other civilization could think short of exterminating those who differed from the ruling faiths and people."
19,"Israeli society has openly acknowledged that out of over a hundred nations in which Jews sought refuge, only in Bharat they were received and treated well."
20,It is because religion in ancient India meant faith in general and not any particular faith.
21,"It is this ancient Indian mind that formulated the Constitution of India, guaranteeing equal treatment to all faiths and their adherents and it is not the Constitution that shaped the Indian mind."
22,Diversity is an inseparable part of India’s past and present national tradition.
23,"The BJP not only respects but celebrates India’s regional, caste, credal, linguistic and ethnic diversity, which finds its true existence and expression only in our national unity."
24,"This rich tradition comprises not only the Vedas and Upanishads, Jainagamas and Tripitaka, Puranas and Guru Granth Sahib, the Dohas of Kabir, the various social reform movements, saints and seers, warriors and writers, sculptors and artists, but also the Indian traditions of the Muslims, Christians and Parsis."
25,"The Bharatiya Janata Party is a proud inheritor of this tradition while all other political parties have branded everything associated with this great tradition as sectarian, unworthy of being followed."
