,0
0,"Election Manifesto for the 1999 Lok Sbha Elections Part I Barely an year and a half after the l998 general elections, the people of India are being forced to elect a new Lok Sabha."
1,The responsibility for this lies squarely with the BJP.
2,"After the last general elections, the BJP-led alliance was nowhere near commanding a majority in the Lok Sabha."
3,"Inspite of this, the BJP opportunistically formed a government under its leadership."
4,"Right through its tenure, this government was poised precariously on the brink of collapse, because the BJP had put together a rag-tag coalition which even included parties which had fought the election against it."
5,"Finally, the inevitable happened."
6,"After 13 months of mind-boggling misrule, the government made an ignominious exit."
7,Rule by the BJP at the Centre is fundamentally different than rule by any other party.
8,The BJP is a party guided by the RSS.
9,"It believes in Hindutva, and is committed to dismantling the secular–democratic values of the Indian Republic."
10,The l3-month stint of the Vajpayee government proves this conclusively.
11,"For the first time, the very basis of the secular principles enshrined in the Constitution stand threatened."
12,The values which have become part of the common consciousness of the Indian people will be eroded if the BJP continues to be in Government.
13,The thirteen-month rule of the BJP-led government has been an unmitigated disaster for the country.
14,It has • aggravated the strains on national unity; instilled fear and insecurity amongst the minorities; • • given a bonanza to foreign capital and big business; imposed heavy burdens on the common people; and • • promoted the large-scale penetration of the administration by the RSS.
15,"Contrary to the claim that the BJP-led government has adhered to the coalition's National Agenda for Governance, the actual experience shows that the RSS–BJP led combine pushed ahead with its own Hindutva agenda: • The period saw the most widespread and systematic attack on the Christian community."
16,• At no time since independence has such a virulent and violent campaign of intimidation been launched against a small minority.
17,• The gruesome murder of Graham Staines and his two children epitomises the intolerance and hatred towards religious minorities.
18,• The BJP-led government wished to pursue its agenda of reviewing the Constitution.
19,"The aim of this agenda is to eliminate all the secular provisions, like Article 370 and Article 30, which guarantees the rights of minorities."
20,• Systematic efforts were made to subvert the secular nature of higher education by appointing pro-RSS personnel.
21,• Artists and intellectuals who opposed communal ideology and divisive politics 1 were threatened and intimidated.
22,"Increasing Authoritarianism Even though the BJP ran a rickety coalition government, it did not hesitate to resort to authoritarian measures."
23,"It used the draconian Article 356—not once, but twice—to dismiss the elected Bihar state government."
24,"It is only the firm stand taken by the President and the BJP’s failure to muster a majority in the Rajya Sabha, which foiled this brazen attack on democracy."
25,The BJP leadership in government advocated a presidential form of government by doing away with the Parliamentary system.
26,It planned to get this issue taken up in the review of the Constitution.
27,It resorted to the cynical use of ordinances to bypass Parliament.
28,The ordinance to amend Prasar Bharati was promulgated after bypassing the Rajya Sabha.
29,"It arbitrarily dismissed the Naval Chief of Staff, Admiral Bhagwat."
30,"After such an act, unprecedented in the history of independent India, the government refused to discuss the matter in the Parliament."
31,The continuance of the BJP in government would mean ushering in an authoritarian system based on Hindutva.
32,"Swadeshi Agents of MNCs Soon after assuming power, the BJP abandoned whatever little pretensions of Swadeshi it claimed, and embarked on a shameless spree of wooing multinational corporations and opening up all sectors of the economy indiscriminately to foreign capital."
33,"Thanks to these policies, MNCs are taking over Indian companies and buying up the Indian partners' share in joint ventures."
34,No previous government has attacked the public sector so vigorously.
35,Privatisation is the watchword of the BJP.
36,The party is hell-bent on selling public assets at scandalously low prices to big business and foreign companies.
37,"By asking profitable public sector units to buy back their own shares from the government and cross- purchase of shares by PSUs, serious damage was done to the major PSUs."
38,"The only budget that the BJP-led government presented for 1999–2000 gave concessions worth ₹ 8,000 crores to the corporate sector and the affluent sections."
39,"2 Vicious Circle: Rising Prices By dismantling the Public Distribution System to benefit private traders, the BJP has thrown the rural and urban poor at the mercy of black marketeers, hoarders and profiteers for buying essential commodities."
40,"The onion price rise scandal and the dropsy deaths due to mustard oil adulteration in Delhi under the BJP state government, typify this anti-people policy."
41,"The Vajpayee government launched an all- round attack against the ordinary people by big increases in the issue prices of rice, wheat and sugar in the Public Distribution System."
42,"One after another, the prices of all essential items -- railway fares, postal rates, petrol, diesel, cooking gas and urea -- were all hiked up."
43,The BJP-led government has promoted the MNC exploitation of agriculture.
44,Companies like Monsanto have been given a free run to exploit Indian farmers.
45,"By refusing to firmly renegotiate provisions under the WTO and giving in to the pressures to make harmful amendments to the Patent Law, the Vajpayee government has threatened the interests of farmers; American companies are patenting neem, karela, jamun and other indigenous plants; the common people will have no access to cheap medicines."
46,"Under the Export-Import Policy, over 1300 items were allowed free imports; such large-scale import liberalisation of a wide range of agricultural and industrial goods will spell ruin for the peasantry and domestic industries."
47,"Unlike previous governments, the BJP-led government refused to even consider the adoption of a Central legislation for agricultural workers to safeguard the minimum rights of the most oppressed sections in the rural areas."
48,"The Vajpayee government's record is one of shameless and servile catering to big business, MNCs and the affluent, while ruthlessly squeezing the poor by high prices of essential commodities, failure to generate employment opportunities, and allowing the landlord–trader nexus to fleece the poor peasants."
49,Dubious Record of Corruption The Vajpayee government has ended its regime with one of the biggest corruption scandals in independent India.
50,"It has brazenly gifted away thousands of crores of rupees to the big business, Indian and foreign telecom companies."
51,"By changing the existing policy for operators in the cellular and basic telephone services to benefit a few big companies, the BJP leadership has set a new record in receiving kickbacks by depriving the government of precious revenue."
52,It removed its own Minister for Communications to accomplish this.
53,"Every authority under the Constitution to which this matter was referred—the President of India, the Election Commission and the Courts—has expressed serious reservations about it."
54,"Yet, under the leadership of the Prime Minister himself, the government has acted as the agent for big capitalists."
55,"That this is not the only scam the BJP government has perpetrated is illustrated by the revelations of the former Advisor to the Finance Minister, Mohan Guruswamy."
56,He 3 has exposed how favours to big business have been granted through unscrupulous corrupt practices at the highest levels.
57,"Major projects have been approved in the power, telecom, petroleum and other sectors which warrant a serious investigation to uncover the nexus between the MNCs, big business and the BJP government."
58,All those guilty of corrupt practices must be brought to book.
59,"Foreign Policy: Disastrous Course Within a short period, the BJP-led government has reversed the course of India's foreign policy whose foundations were based on non-alignment and independence in decision making."
60,"After the Pokhran tests, faced with international isolation, the Vajpayee government began succumbing to US pressures."
61,"In its anxiety to get acceptance as a nuclear weapon power, it conducted an eight-month long secret diplomacy through the Jaswant Singh–Strobe Talbott talks, unprecedented in India's diplomatic history."
62,The shift to a pro-imperialist policy soon became evident.
63,The Vajpayee government refused to condemn the US missile attacks on Sudan and Afghanistan.
64,It was lukewarm in its criticism of the NATO aggression on Yugoslavia.
65,It refuses to oppose the drive for US global hegemony.
66,The Vajpayee government harmed the process of improving relations with China by the Prime Minister's letter to President Clinton citing China as a security threat.
67,The Vajpayee government has isolated India in the non-aligned movement and in the international community by its shortsighted and wrong policies.
68,"Compromising National Security By conducting the nuclear tests in Pokhran, the BJP-led government abandoned India's long-standing policy of developing nuclear technology without going in for weaponisation."
69,Jingoistic positions were taken on the bomb.
