,0
0,"CONGRESS WILL DELIVER � � www.inc.in � � Published by � (cid:31)� Printed by IndianNationalCongress The All India Congress Committee Samrat Offset, B88 � � � � � � � INCIndia INCIndia IndianNationalCongress 24, Akbar Road, New Delhi Okhla Phase 2, New Delhi PIN: 110001 PIN: 110020 Total Qty: 5000 MANIFESTO LOK SABHA ELECTIONS 2019 INDIAN NATIONAL CONGRESS / 1 pg 10 Detailed plan of action Kaam, Daam, Shaan, Sushashan, Swabhimaan, Samman."
1,"34 35 36 37 37 38 38 39 40 40 41 42 43 44 44 44 45 46 47 48 49 50 50 51 52 53 53 Local Self Governments Judiciary Review of Laws, Rules and Regulations Electoral Reforms Police Reforms Media and Freedom of The Media Perspective Planning and The New Planning Commission SWABHIMAAN—SELF-ESTEEM FOR THE DEPRIVED Women’s Empowerment and Gender Justice Scheduled Castes, Scheduled Tribes and Other Backward Classes Jammu & Kashmir North Eastern States Religious and Linguistic Minorities Denotified Tribes and Semi-Nomadic Tribes Senior Citizens Persons with Disabilities Rights of LGBTQIA+ SAMMAN—A LIFE OF DIGNITY FOR ALL Healthcare Education Food and Nutrition Security Child Welfare Water Management, Sanitation and Hygiene Environment and Climate Change Climate Resilience and Disaster Management Digital Rights of Every Citizen Sports pg 11 12 13 14 14 15 15 16 17 18 20 21 23 24 24 25 26 26 27 28 28 29 29 30 30 31 32 33 33 33 34 KAAM—EMPLOYMENT AND GROWTH Jobs Industry Infrastructure Cities, Urbanisation and Urban Policy Rural Development Informal and Unorganised Sector DAAM—AN ECONOMY THAT WORKS FOR ALL Agriculture, Farmers and Farm Labour Economic Policy Minimum Income Support Programme or Nyuntam Aay Yojana (NYAY) Taxation and Tax Reforms Banking and Financial Sector Science, Technology and Innovation Fisheries and Fisherfolk SHAAN—PRIDE IN OUR HARD AND SOFT POWER National Security Internal Security Foreign Policy Border Security Ex-Servicemen Central Armed Police Forces Art, Culture and Heritage Tourism Non-Resident Indians Engaging With Citizens and Civil Society SUSHASAN—GOOD GOVERNANCE THROUGH INDEPENDENT AND ACCOUNTABLE INSTITUTIONS Institutions Anti-Corruption Governance, Transparency and Accountability Federalism and Centre-State Relations “I’ve never broken a promise that I’ve made.” Rahul Gandhi Contents pg 4 Foreword by Rahul Gandhi pg 6 The choice before you pg 54 Appeal Every single word in the Congress manifesto reflects your voices and the aspirations of crores of Indians."
2,The 2019 elections are crucial for India’s future and our children’s future.
3,Let us rebuild India.
4,"Together, let us get India moving again."
5,"2 / 3 Foreword by Rahul Gandhi 121 PUBLIC CONSULTATIONS 24 STATES AND 3 UNION TERRITORIES IN OVER 60 LOCATIONS 53 SESSIONS WITH FARMERS, TEACHERS, ENTREPRENEURS, DOCTORS, LAWYERS AND ECONOMISTS 12 COUNTRIES FROM WHERE NRIs WERE REPRESENTED Elections 2019 present a stark choice to the people of India."
6,"Will India be a free and democratic country and will the Indian people be free from fear, free to live and work and pray and eat and love and marry according to their wishes, free from poverty and free to pursue their ambitions?"
7,"Or will India be governed by a perni- cious ideology that will trample upon people’s rights, institutions, conventions and the healthy differences that are the essence of a multi-cultural country?"
8,"Will India be able to lift all our people with the tide of growth and will it get rid of poverty or will India become a country marked by gross inequalities of income, wealth and power?"
9,The last 5 years have been disastrous for the people of India.
10,Youth have lost jobs.
11,Farmers have lost hope.
12,Traders have lost business.
13,"Micro, small and medium enterprises have lost their confidence."
14,Women have lost a sense of security.
15,Deprived communities have lost their traditional rights.
16,Institutions have lost independence.
17,The harshest blow is that our citizens have lost their faith in the words of the Prime Minister and his Government.
18,"He has given us only grandiose promises, empty slogans, failed programmes, false statistics and an overall climate of fear, intimidation and hatred."
19,"In this time of deep crisis, the Indian National Congress promises a clean break from the past 5 years."
20,"With this manifesto, the Congress offers to you the only national alternative: a distinct alterna- tive that is unwavering in its commitment to truth, freedom, dignity, self-respect and prosperity for our people."
