,0
0,1 .The Key Issue 3 Overview of 45 Years of Congress Achievements 4 Why Congress Again?
1,"6 The BJP/NDA's Monumental Failures 8 The Congress Party's Priorities, Plans and Programmes 12 • Rozgar 14 • Kisans and Khet Mazdoors 16 • Women and Children 18 • Education and Health 19 • Minorities 20 • Dalits and Adivasis 21 • Food and Nutrition Security 22 • Panchayati Raj 23 • Informal and Unorganised Sector 24 • Social and Physical Infrastructure 24 • Defence, National Security and Foreign Policy 26 • Regional Development 27 • Administrative, Police, Judicial and Electoral Reforms 28 • Industry 29 • Fiscal Policy 31 • Implementation of Manifesto 31 An Appeal 32 This is the time for Back to Basics, basics that have formed the essence of our culture, basics that provided the impetus to our Independence Movement, basics that have built a modern, self-reliant and self-confident India over the past half century."
2,A time to reestablish the core values that have made India unique.
3,A time to rejoice in our diversities and reiterate our unities.
4,A time to reestablish the rule of law and repair our secular fabric.
5,A time to revive economic growth.
6,A time to reinforce social justice and equity.
7,A time to reinvigorate agriculture.
8,« A time to recharge the aspirations of our youth and women.
9,A time to reinject clarity and consistency in governance.
10,"A time to rekindle the flame of all-inclusive, composite, pluralistic nationalism."
11,A time to reject the forces of bigotry and divisiveness.
12,"A time to reinvent the politics as an instrument f c^anSe based on conscience, competence, compassion and commitment."
13,The 2004 Lok Sahha elections is no ordinary election.
14,It is not just an election between one party and another.
15,"It is a clash of sharply competing values, of diametrically opposite ideologies."
16,"It is a contest between the Congress that has always celebrated India's glorious past and drawn from its traditions to build modern India, and the BJP that is systematically undermining the very essence ot Indian civilization and destroying the very idea of India."
17,The Congress recognises that this is not a moment for a narrow pursuit ot partisan power.
18,This is the moment to consolidate all forces subscribing to the fundamental THE KEY ISSUE values of our Constitution.
19,The Congress's goal is to defeat the forces ot obscurantism and bigotry who contributed nothing to the Freedom Movement or the making ot our Constitution and whose sole objective is to subvert our millennial heritage and composite nationhood.
20,"In this sacred endeavour, the Congress has joined hands with like-minded political parties in different states."
21,"The Congress and its various allies are united in their determination to defeat the BJP, which threatens to rewrite our past and wreck our future."
22,"In the process, we will present the national alternative to bring India back on the path ot economic growth with social harmony."
23,"x -r. , Ihi tiding one nf the wtnLI's largest tcxtik Industrie*."
24,"14 t T r' ' Bp ■ • ■ -., - -»."
25,> mt‘pufiient r^„2 he achievements of successive (Congress governments are indelibly marked on rhe contemporary face of our country.
26,The RSS-RJP ci'mfmc has never missed an opportunity to develop backward regions and provide and adivasis.
27,"ridicule, distort and misinterpret everything that the Congress party has done."
