,0
0,"Cover option 1 Bharatiya Janata Party Ek Bharat - Shreshtha Bharat 43 Bharatiya Janata Party 43 Election Manifesto 2014 Sabka Saath, Sabka Vikas 44 Our Pledge Ek Bharat - Shreshtha Bharat Vibrant and Participatory Democracy Empowered and Inspired People Inclusive and Sustainable Development Quality life in Villages and Cities Basic Amenities to All Flourishing Agriculture Productive Youth Involved Women Robust physical and social Infrastructure Innovative and Technologically driven Society Globally competitive Economy Brand India built on Quality Strong, Effective and Futuristic Institutions Open, Transparent and Systems-based Government Pro-active, Pro-people Good Governance To build a Modern India: the best foundation is our own Culture; the best tool our own hands; and the best material our own aspirations Sabka Saath, Sabka Vikas 45 Table of Contents Preface Attend the Imminent Price Rise Employment and Entrepreneurship Corruption Black Money Decision and Policy Paralysis Poor Delivery Credibility Crisis Strengthen the Framework Team India Centre-State Relations Integrating the Nation - Its Vastness and Voices Decentralization and People's Participation From Representative to Participatory Democracy Reform the System Good Governance: Transparent, Effective, Involving and Encouraging India First Open Government and Accountable Administration E-Governance: Easy, Efficient and Effective Institutional Reform - Administrative, Judicial, Police and Electoral Administrative Judicial Police Electoral Widen the Platform Poor and Downtrodden - Bridge the Gap Food Security SCs, STs, OBCs and Other Weaker Sections - Social Justice and Empowerment Minorities - Equal Opportunity Neo-Middle Class - Meet their Aspirations Rural Areas - High Priority Urban Areas - High Growth Centres Leap Forward Social Security - A Caring Government, Passionate Society Children - the Future of the Nation Senior Citizens Specially Abled Youth - Making India Unstoppable Promotion of Sports Women - The Nation Builder Education - Enroll and Excel School Education Higher and Professional Education Vocational Training Skills - Focusing on Productivity and Employability Health Services - Increase the Access, Improve the Quality, Lower the Cost Economic Revival NPAs Taxation Foreign Direct Investment Agriculture - Productive, Scientific and Rewarding Industry - Modern, Competitive and Caring Manufacturing MSMEs (Micro, small and medium enterprises) Cooperative Sector Handicrafts Artisans Services - Driven by Quality and Efficiency Business and Trade Tourism - Untapped Potential Labour Force - The Pillar of Our Growth Housing - No Longer a Mirage Physical Infrastructure - Better than the Best Next Generation Infrastructure Transport Railway Water - Make It Reach to All Homes, Farms and Factories Energy - Generate More, Use Rationally, Waste Less Science and Technology - India Innovates and India Leads Flora, Fauna and Environment - Safeguarding Our Tomorrow The Himalayas Natural & National Resources - Use When Required, Protect Where Necessary Secure Indians - Zero Tolerance on Terrorism, Extremism and Crime Internal Security External Security - Its Boundary, Beauty and Bounty Defence Production Independent Strategic Nuclear Programme Foreign Relations - Nation First, Universal Brotherhood Cultural Heritage Uniform Civil Code Conclusion - Amritmay Bharat Preface India is the most ancient civilization of the world and has always been looked upon by the world as a land of wealth and wisdom."
1,"India has been credited to have developed, apart from philosophy and mathematics, science and technology of a very high order, which had attracted scholars from all over the world."
2,"Al-Andalusi, a Spanish scholar in the 11th Century, in his monumental work 'Tabaqat al- Umam' had discussed the state of science in different countries."
3,"He writes, ""The first nation to have cultivated science is India… India is known for wisdom of its people."
4,"Over many centuries all the kings of the past have recognized the ability of Indians in all branches of knowledge."""
5,"Andalusi further states, ""Indians, as known to all nations for many centuries, are the metal (essence) of wisdom, the source of fairness and objectivity."
6,"They are the people of sublime pensiveness, universal apologues, and useful and rare inventions."""
7,India's contribution to the march of civilization goes back to several thousand years before the Christian era.
8,"From the Vedas to Upanishads and Gautam - the Buddha and Mahavira - the 24th Jain Tirthankara and then to Kautilya and Chandra Gupta and down up to the eighteenth century, India was respected for its flourishing economy, trade, commerce and culture."
9,"It had an international outreach from Korea to Arabia, from Bamiyan to Borobudur and beyond."
10,"Before the advent of Britishers, Indian goods were internationally recognized for their quality and craftsmanship."
11,India had a much bigger role and presence in industry and manufacturing than any nation in Europe or Asia.
12,"It had a well-developed banking system and equally renowned businessmen, along with its financiers, who were contributing to create a flourishing and progressive economy."
13,"According to Sunderland, India was also one of the greatest shipbuilding nations and consequently had an access to international markets."
14,Indian prosperity held the world in thrall.
15,It was this wealth which attracted the foreigners - from Alexander to the Britishers.
16,Historical records establish the level of progress and prosperity attained by India before the advent of the Europeans.
17,"Indian advancement in mathematics, astronomy, physics and chemistry along with the biological sciences has been well recognized."
18,"India was a land of abundance, prosperity, affluence, a land of sharing and caring living in perfect harmony and peace with the nature."
19,"From ancient times almost all religions practiced in different parts of the world, have existed peacefully in India and will continue to do so."
20,India thus provides the most ennobling experience in spiritual co-existence.
21,"BJP recognizes that no nation could chart out its domestic or foreign policies unless it has a clear understanding about itself, its history, its roots, its strengths and failings."
22,"In a highly mobile and globalized world, it is imperative for a nation to know its roots that provide sustenance to its people."
23,"\ Indian freedom struggle, which was inspired by Tilak, Gandhi, Aurobindo, Patel, Bose and others, had a clear vision of the civilizational consciousness of India."
24,"These leaders had directed the freedom movement, keeping the Indian ways and thoughts in the centre of their action."
25,"They had a vision to reconstruct the political and economic institutions of India as a continuum of civilizational consciousness, which made India one country, one people, and one Nation."
26,"After achieving independence, the leaders at the helm of affairs lost the spirit and the vision, which the freedom movement had evoked."
27,They discarded the vision and adopted the institutional framework of administration created by the Britishers which was quite alien to India's world-view.
28,"It is unfortunate that these leaders could not comprehend India's inner vitality, which was the main force responsible for India's survival despite several attacks and prolonged foreign rule and thus, failed to rekindle the spirit of India."
29,"1 Even after nearly seven decades of our independence, the country has not been able to discover its innate vitality, the sense of time and the will to act."
30,"As a result, in spite of being the oldest civilization and a young republic, we are engulfed by a multi-dimensional crisis."
31,"A crisis, which has encompassed all walks of life."
32,"The rising disparities, social and communal divide and terrorism leading to a fractured society, are worsening the situation rapidly."
33,The present crisis is the result of this confusion and disconnect from the seekings and sensibilities of the people.
34,This is worse confounded by the weak and spineless leadership of the UPA Government.
35,The tragedy is further heightened by their failure to diagnose the malady and find the remedy.
36,"Instead of creating a socio-economic and political paradigm of governance drawn from the civilizational consciousness of India, the leaders tried to follow whatever was being practiced in this or that western country."
37,"Thus, we have wasted more than half of a century."
38,"Many other countries, even with smaller size and lesser resources, have surpassed us in development parameters."
39,"Another reason for this is that the Governance in these decades was marred by lack of trust, leading to excessive controls."
40,It was also marked by lack of openness in Government and lack of people's participation.
41,This has led to concentration of power in a few hands and lack of transparency breeding corruption and nepotism on a massive scale.
42,"The so-called 'liberalization' came in 1990s, but it was half-hearted."
43,It didn't work because the rest of the eco-system remained the same.
44,"However, the beginning of the 21st century showed some light under the NDA rule."
45,India started being reckoned as an economic superpower.
46,"The six-year rule of NDA had given the Nation many firsts, building an image in the International community."
47,"However, many of the hopes, potentials and projects have not been fully realized in the subsequent years."
48,"But after 2004, UPA came into power and the situation started worsening again."
49,We missed a historic national opportunity once more.
50,UPA's biggest blow to the Indian political system is that they have taken out Genuineness from Governance; Authenticity from Administration.
51,"UPA has shown Governance of Enactment, not Action."
52,It has given an Administration of Entitlement without Delivery.
53,"We have become a polity of Promises, and not Performance."
54,"We represent an economy of deficits, a work culture of delays and an asset base of deficiency."
55,"Worse, Congress-led UPA has made India a global synonym of Corruption, Scandal and Stagnation."
56,"To make it even worse, today, we are passing through total Decision and Policy Paralysis."
57,"Sluggish economic growth, unprecedented price rise and unstable Currency are its most visible facets."
58,"The following demand urgent solutions; economy including agriculture, energy, environment including natural resources, education and health, employment, external and internal threats to security, empowerment, Governance, and erosion of moral and societal values."
59,"If India has to survive as a nation, which it has to, in order to play its destined role in the comity of nations, if it has to make its voice heard for creating a peaceful and egalitarian world order, then we must take up the challenges with urgency and determination and provide proper solutions for them."
60,"It is a pity that we have a demoralized leadership presiding over the state apparatus, which is incompetent to handle the present problems."
61,What is needed today is to arrive at a consensus about the 'Idea' of India and also to think and redesign our approach in consonance with the seekings and preferences of the Indian people.
62,The situation in the country is deteriorating rapidly.
63,Delay in resolving the crisis would be dangerous.
64,"What is needed is to take lessons from history, recognise the vitality and resilience of India, the power of its world-view and utilize its strength, which drove it to glorious heights and analyse its weaknesses, which led to this abysmal fall."
65,Pick up the thread from the point where the continuum of our civilizational 2 consciousness was lost and reorient the polity in consonance with those strong points of Indian psyche which will be the engine for our future glory.
66,"Let's keep the windows open, have a clear understanding of the global scenario and how without destroying our uniqueness we can assimilate the best of the technological advancements."
67,We can achieve this goal provided the leaders seriously set to this task.
68,What we need is a political party committed to deliver and a leadership with strong determination and political will.
69,"As Vivekananda had said, ""All power is within you."
70,You can do anything.
71,"Believe in that."""
72,"Yes, the power lies in the people of India, in the inner sanctum sanctorum of Mother India."
73,What is needed is to ignite the spark and Mother India would rise in her full glory.
74,As Sri Ma had once said that India had become the symbolic representation of all the difficulties of modern mankind but India will also be the land of its resurrection to a higher and truer life.
75,The BJP will leave no stone unturned to fulfill the dream of 1.22 billion Indians.
76,"Today, India is blessed with the rare capacity and opportunity of Democracy, Demography and Demand."
77,"If we are able to consolidate and harness them, we will be able to reach the heights which India deserves."
78,The biggest reason for a sorry state of affairs is bad intentions on the part of those who have ruled the country for sixty years.
79,And that is where we would show the first difference.
