,0
0,"Vision Document 2004 Election Manifesto Election Manifesto 2004 2004 An idea whose time has come: India as a Developed Nation and a Great Power   2 • Party Document Vol-1   Election Manifestoes • 3 Introduction Dear Countrymen, Elections to the 14th Lok Sabha will take place in April-May 2004."
1,"The Bharatiya Janata Party along with its partners in the National Democratic Alliance, has entered the electoral fray seeking a renewed mandate under the visionary leadership of Prime Minister Shri Atal Bihari Vajpayee."
2,"On this occasion, I am pleased to present before you the Vision Document 2004, which sets forth our Party’s core beliefs, basic commitments, and our priority agenda for the next five years and beyond."
3,India is an ancient civilisation with a rich cultural and spiritual heritage.
4,"We have perennial rivers, fertile land, hardworking kisans, industrious workers, skilled artisans, great intellectuals, a robust scientific and technological establishment and capable entrepreneurs."
5,"Why, then, did India lag behind in development?"
6,The answer lay in the Congress party’s wrong policies and long misrule.
7,The Congress era in Indian politics is over.
8,The era of the BJP has begun.
9,India has now embarked on a path of rapid progress and all-round development.
10,"India is more ambitious, more self- confident and more capable now than ever before."
11,"For the BJP our vision, our political journey and our distinctive identity have always been personified by Shri Atal Bihari Vajpayee."
12,"Since the inception of the Bharatiya Jana Sangh, and the founding of the BJP, Shri Atalji has been our leader, guiding the Party throughout its steady march forward in the past five decades, inspiring countless Indians with his poetry, his thoughts, his tapasya and his towering personality."
13,"Because Shri Atalji best personifies our Party’s vision, we have decided to illustrate this document   4 • Party Document Vol-1 with pictures showing different facets of his political life."
14,I do hope that this Vision Document succeeds in persuading you to give an absolute majority to the BJP and a two-thirds majority to the NDA in the 14th Lok Sabha.
15,Vande Mataram!
16,—M.
17,"Venkaiah Naidu President Bharatiya Janata Party   Election Manifestoes • 5 A Summary 1.1 Making India a Developed Nation and a Great Power by 2020, and creating an unshakeable national resolve to achieve this goal."
18,1.2 Further strengthening national security both external and internal—to overcome present and future challenges.
19,"1.3 Further broadening and deepening of economic reforms, based on a self-reliant approach, for sustained double- digit GDP growth rate to achieve complete eradication of poverty and unemployment; end of regional and social disparities; and bridging the urban-rural divide."
20,"1.4 Achieving a quantum improvement in the quality of life of all Indians by fulfilling their basic needs in education, healthcare, nutrition, drinking water, housing, sanitation, and cultural development."
21,"1.5 Launching the Second Green Revolution to unleash the tremendous growth potential in Indian agriculture and agro-based industries, eliminating waste in the food chain, and to ensure doubling of income of even a marginal farmer by 2010."
22,"1.6 Bringing vibrancy to small-scale industries, cottage enterprises and activities of rural artisans; revitalization of traditional industries like textiles; and giving due recognition and full encouragement to the informal sector of the economy."
23,"1.7 Giving India a world-class infrastructure in power, telecom and IT, roads, railways, air travel, ports, shipping and inland navigation, markets and the financial sector."
24,"1.8 Making India a major exporting nation, a global   6 • Party Document Vol-1 manufacturing hub; a preferred service provider to the world; a preferred country for higher education and healthcare; a leading creator of R&D; putting India at the centre of the Knowledge Economy; and making India a major tourist destination in the world."
25,"1.9 Preparing India for the momentous shift taking place in the world economy, in which low-cost economies can score a big march over high-cost economies by building competitive strengths in manufacturing and services; enriching our human resources and reforming our economy towards this end, and turning our young population into a huge opportunity in the era of globalisation."
26,"1.10 Dealing with the challenge of water on a war-footing with a three-pronged approach: Launch of the River-Linking Project; Massive encouragement for micro initiatives such as watershed management, check dams, rainwater harvesting, drip irrigation, etc; Cleaning up of rivers and traditional water bodies."
27,1.11 A massive rural development programme based on the concept of an Ideal Indian Village.
28,"1.12 A massive urban renewal programme, based on the concept of an Ideal Indian City."
29,"1.13 Comprehensive Good Governance Reforms, encompassing administrative reforms, judicial reforms, electoral reforms, devolution of powers to States and effective empowerment of Panchayati Raj Institutions and urban local bodies."
30,"1.14 Commitment to construction of a magnificent Ram Mandir at Ayodhya; Amicable resolution of the issue through dialogue for starting a new chapter in Hindu-Muslim relations; 1.15 Educational development, economic upliftment, and empowerment of minorities; and ending the majority- minority distinction in politics."
31,"1.16 Vigorous pursuit of the ideals of social justice, economic justice and empowerment of the Scheduled Castes, Scheduled Tribes, Nomadic and Denotified Tribes, OBCs, and the poor among the Forward Classes."
32,1.17 Ban on religious conversions through fraudulent and   Election Manifestoes • 7 coercive means.
33,1.18 Intensification of the peace and development process in Jammu & Kashmir and the North-East.
34,Ensuring early return of Kashmiri Pandits and other displaced people to their native places.
35,1.19 Commitment to women’s all-round empowerment; the BJP is ready to back any consensus formula to ensure early legislation for women’s reservation in Parliament and State Legislatures.
36,1.20 Legislation to ensure that important offices of the Indian State can be occupied only by those who are India’s natural citizens by their Indian origin.
